Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
80,5,71,71,1
-2,-1,-14,0,0
0,0,-22,0,0
-6,-1,-8,0,0
45,3,43,43,1
-5,-1,-16,0,0
1,0,-14,0,0
-4,-1,-24,0,0
-5,-1,-8,0,0
-9,-1,-16,0,0
-2,-1,-24,0,0
-1,-1,-28,0,0
-5,-1,-16,0,0
-3,-1,-4,0,0
2,0,-17,0,0
1,0,-18,0,0
26,1,45,45,1
-3,-1,-18,0,0
7,0,-3,0,0
0,0,-10,0,0
-3,-1,-11,0,0
-3,-1,-17,0,0
-7,-1,-27,0,0
-2,-1,-17,0,0
-2,-1,-20,0,0
0,0,-7,0,0
-5,-1,-19,0,0
2,0,100,100,1
-4,-1,13,13,0
-3,-1,-14,0,0
8,0,8,8,0
-6,-1,-11,0,0
-5,-1,-15,0,0
8,0,-9,0,0
-1,-1,19,19,1
-2,-1,6,6,0
-3,-1,2,2,0
-1,-1,1,1,0
3,0,-7,0,0
-4,-1,-9,0,0
10,0,-1,0,0
-9,-1,-14,0,0
42,2,29,29,1
-7,-1,-10,0,0
-7,-1,-5,0,0
-5,-1,24,24,1
45,3,34,34,1
-5,-1,-17,0,0
-3,-1,-13,0,0
-3,-1,-12,0,0
30,2,19,19,1
-6,-1,-13,0,0
-6,-1,-18,0,0
-7,-1,-16,0,0
0,0,-15,0,0
-6,-1,1,1,0
102,6,87,87,1
-2,-1,-14,0,0
0,0,-7,0,0
-3,-1,0,0,0
-4,-1,-11,0,0
2,0,-15,0,0
4,0,-5,0,0
0,0,-11,0,0
1,0,-5,0,0
15,1,26,26,1
42,2,27,27,1
46,3,37,37,1
77,5,60,60,1
30,2,24,24,1
50,3,54,54,1
-3,-1,-9,0,0
-5,-1,-13,0,0
-4,-1,-12,0,0
-4,-1,2,2,0
1,0,1,1,0
147,9,138,138,1
0,0,-5,0,0
-4,-1,-18,0,0
72,4,63,63,1
12,0,8,8,0
119,7,109,109,1
5,0,3,3,0
3,0,-6,0,0
-2,-1,-8,0,0
-4,-1,10,10,0
92,6,84,84,1
52,3,39,39,1
96,6,100,100,1
53,3,37,37,1
71,4,58,58,1
55,3,44,44,1
5,0,-10,0,0
-5,-1,-10,0,0
-2,-1,-25,0,0
0,0,-40,0,0
11,0,-11,0,0
23,1,13,13,0
0,0,-9,0,0
-6,-1,-29,0,0
-5,-1,-15,0,0
-6,-1,-18,0,0
50,3,26,26,1
-1,-1,9,9,0
-10,-1,-27,0,0
-2,-1,-14,0,0
-1,-1,-1,0,0
-9,-1,-24,0,0
-1,-1,-6,0,0
-5,-1,-32,0,0
-1,-1,11,11,0
-4,-1,-5,0,0
-6,-1,-3,0,0
-3,-1,-21,0,0
-4,-1,-45,0,0
2,0,-32,0,0
-2,-1,-37,0,0
115,7,92,92,1
-3,-1,-34,0,0
4,0,-16,0,0
1,0,4,4,0
-3,-1,9,9,0
-10,-1,-7,0,0
-1,-1,-36,0,0
40,2,71,71,1
-1,-1,-1,0,0
-7,-1,-28,0,0
8,0,1,1,0
33,2,31,31,1
3,0,-7,0,0
132,8,135,135,1
-1,-1,-3,0,0
-4,-1,-28,0,0
2,0,-7,0,0
-4,-1,-17,0,0
2,0,-14,0,0
-4,-1,101,101,1
3,0,-10,0,0
7,0,-3,0,0
100,6,91,91,1
-3,-1,-18,0,0
0,0,-12,0,0
19,1,3,3,0
129,8,178,178,1
29,1,31,31,1
-4,-1,-16,0,0
-3,-1,-7,0,0
0,0,-4,0,0
14,0,-19,0,0
41,2,33,33,1
0,0,-2,0,0
27,1,26,26,1
0,0,131,131,1
171,11,180,180,1
1024,12,1010,1010,1
7,0,9,9,0
24,1,-1,0,0
9,0,-13,0,0
-5,-1,-31,0,0
-3,-1,-14,0,0
0,0,74,74,1
